stamp	commit	engine	threads	hash_mb	depth	fen_id	bestmove	nodes	nps	time_ms
20260628T174058Z	0f0bb79	/tmp/labzero-optimized/release/labzero	1	64	8	1	b1c3	198127	1923563	103
20260628T174058Z	0f0bb79	/tmp/labzero-optimized/release/labzero	1	64	8	2	g8f6	1093724	1669807	655
20260628T174058Z	0f0bb79	/tmp/labzero-optimized/release/labzero	1	64	8	3	e4d5	561946	1677450	335
20260628T174058Z	0f0bb79	/tmp/labzero-optimized/release/labzero	1	64	8	4	c5c6	33073	2362357	14
20260628T174058Z	0f0bb79	/tmp/labzero-optimized/release/labzero	4	64	8	1	e2e4	123369	1072773	115
20260628T174058Z	0f0bb79	/tmp/labzero-optimized/release/labzero	4	64	8	2	g8f6	480091	1188344	404
20260628T174058Z	0f0bb79	/tmp/labzero-optimized/release/labzero	4	64	8	3	e4d5	280955	958890	293
20260628T174058Z	0f0bb79	/tmp/labzero-optimized/release/labzero	4	64	8	4	c5c6	17452	2493142	7
