timestamp_utc,run_id,protocol,sf_elo,anchor_elo,tc,tc_mode,threads,games,w,l,d,score_pct,perf,artifact,source,notes,git_sha
2026-06-22T18:17:51.489968+00:00,benchmark_20260622T181751Z,benchmark_3+2,2200,2200,3+2,wtime,4,16,4,8,4,37.5,2111,benchmark_20260622T181751Z.txt,txt,,
2026-06-22T18:52:17.395958+00:00,benchmark_20260622T185217Z,benchmark_3+2,2000,2000,3+2,wtime,4,32,16,7,9,64.1,2101,benchmark_20260622T185217Z.txt,txt,,
2026-06-23T04:41:07.083651+00:00,benchmark_20260623T044106Z,benchmark_3+2,2000,2000,3+2,wtime,4,32,18,9,5,64.1,2101,benchmark_20260623T044106Z.txt,txt,,
2026-06-23T05:51:40.983960+00:00,benchmark_20260623T055140Z,benchmark_3+2,2200,2200,3+2,wtime,4,16,5,3,8,56.2,2243,benchmark_20260623T055140Z.txt,txt,,
2026-06-23T06:22:10.818026+00:00,benchmark_20260623T062210Z,benchmark_3+2,2200,2200,3+2,wtime,4,32,15,14,3,51.6,2211,benchmark_20260623T062210Z.txt,txt,,
2026-06-23T09:03:18.523052+00:00,benchmark_20260623T090318Z,benchmark_3+2,2000,2000,3+2,wtime,4,32,20,6,6,71.9,2163,benchmark_20260623T090318Z.txt,txt,,
2026-06-23T10:07:53.348138+00:00,benchmark_20260623T100753Z,benchmark_3+2,2200,2200,3+2,wtime,4,16,7,7,2,50.0,2200,benchmark_20260623T100753Z.txt,txt,,
2026-06-23T10:44:25.066960+00:00,benchmark_20260623T104424Z,benchmark_3+2,2200,2200,3+2,wtime,4,32,12,7,13,57.8,2255,benchmark_20260623T104424Z.txt,txt,,
2026-06-23T13:13:25.050238+00:00,benchmark_20260623T131324Z,benchmark_3+2,2300,2300,3+2,wtime,4,16,8,4,4,62.5,2389,benchmark_20260623T131324Z.txt,txt,,
2026-06-23T13:49:40.382702+00:00,benchmark_20260623T134940Z,benchmark_3+2,2200,2200,3+2,wtime,4,16,12,1,3,84.4,2493,benchmark_20260623T134940Z.txt,txt,,
2026-06-23T15:06:55.512011+00:00,benchmark_20260623T150655Z,benchmark_3+2,2300,2300,3+2,wtime,4,32,19,5,8,71.9,2463,benchmark_20260623T150655Z.txt,txt,,
2026-06-23T16:39:00.850295+00:00,benchmark_20260623T163900Z,benchmark_3+2,2400,2400,3+2,wtime,4,16,5,4,7,53.1,2422,benchmark_20260623T163900Z.txt,txt,,
2026-06-23T17:15:07.665749+00:00,benchmark_20260623T171507Z,benchmark_3+2,2500,2500,3+2,wtime,4,16,3,3,10,50.0,2500,benchmark_20260623T171507Z.txt,txt,,
2026-06-23T17:51:15.595872+00:00,benchmark_20260623T175115Z,benchmark_3+2,2400,2400,3+2,wtime,4,32,11,9,12,53.1,2422,benchmark_20260623T175115Z.txt,txt,,
2026-06-23T19:14:49.077597+00:00,benchmark_20260623T191448Z,benchmark_3+2,2300,2300,3+2,wtime,4,16,5,3,8,56.2,2343,benchmark_20260623T191448Z.txt,txt,,
2026-06-24T03:59:47.685885+00:00,benchmark_20260624T035947Z,benchmark_3+2,2500,2500,3+2,wtime,4,32,8,12,12,43.8,2457,benchmark_20260624T035947Z.txt,txt,,
2026-06-24T05:26:32.560530+00:00,benchmark_20260624T052632Z,benchmark_3+2,2400,2400,3+2,wtime,4,16,7,7,2,50.0,2400,benchmark_20260624T052632Z.txt,txt,,
2026-06-24T05:59:16.786283+00:00,benchmark_20260624T055916Z,benchmark_3+2,2500,2500,3+2,wtime,4,32,11,14,7,45.3,2467,benchmark_20260624T055916Z.txt,txt,,
2026-06-24T09:22:15.686570+00:00,baseline_sf2500,gauntlet_3+2,2500,2500,3+2,wtime,4,32,18,7,7,67.2,2624,baseline_sf2500.txt,txt,,
2026-06-24T10:43:17.798438+00:00,gate_sf2500_smoke,gauntlet_3+2,2600,2600,3+2,wtime,4,16,6,3,7,59.4,2666,gate_sf2500_smoke.txt,txt,,
